,jobTitles,company,salaryRange,Bonus,category+progLang,seniority,workLanguage,location,remote
15, Senior Java Cloud Developer , Grape Up , 98.8k  - 150.6k  CZK ,," Kategorie:  Backend ,  java "," Senior, Expert ",Pracovní jazyk:Angličtina, Hybrid  +4 •Prague•Ostrava•Pilsen•Brno ,
16, Senior Backend Developer , Quotebeam , 119.7k  - 165.2k  CZK ,," Kategorie:  Backend ,  javascript "," Senior, Expert ",Pracovní jazyk:Angličtina,, Na dálku 
17, Remote Oracle Integrat. Cloud Developer , Sunrider International , 59.9k  - 107.9k  CZK ,," Kategorie:  Backend ,  oracle ", Mid ,"Pracovní jazyk:Maďarština, Angličtina",, Na dálku 
18, Software Developer , Actico GmbH , 123.2k  - 154k  CZK , +15% ," Kategorie:  Backend ,  java "," Mid, Senior ",Pracovní jazyk:Angličtina," Immenstaad, Ziegelei 5 •Na dálku•Immenstaad, Ziegelei 5 ", Na dálku 
19, Chief Technology Officer , Can Do Consulting SAGL , 103.1k  - 206.3k  CZK ,," Kategorie:  Backend ,  python ", Expert ,Pracovní jazyk:Angličtina,, Na dálku 
20, Remote Senior Back-end Engineer (PHP) , Kilo Health , 98.6k  - 172.5k  CZK ,," Kategorie:  Backend ,  php ", Senior ,Pracovní jazyk:Angličtina," Vilnus, Berlin, Kyiv •Na dálku•Vilnus•Berlin•Kyiv ", Na dálku 
21, Backend Engineer , FINN GmbH , 123.2k  - 164.3k  CZK ,," Kategorie:  Backend ,  javascript ", Mid ,Pracovní jazyk:Angličtina," München, Prinzregentenpl. 9 •Na dálku•München, Prinzregentenpl. 9 ", Na dálku 
22, Python / PHP Senior Developer , Soundsnap & Beatopia , 123.2k  - 164.3k  CZK ,," Kategorie:  Backend ,  php "," Senior, Expert ",Pracovní jazyk:Angličtina,, Na dálku 
23, Senior Python Engineer , Idego Group Sp. z o.o. , 123.8k  - 144.4k  CZK ,," Kategorie:  Backend ,  python ", Senior ,Pracovní jazyk:Angličtina,, Na dálku 
24, Software Engineer - Phorest Pay , Phorest , 110.9k  - 135.5k  CZK ,," Kategorie:  Backend ,  java ", Mid ,Pracovní jazyk:Angličtina,, Na dálku 
25, Remote US Startup .NET Developer , Xtrades LLC , 156.1k  - 161k  CZK , +150% ," Kategorie:  Backend ,  .net ", Senior ,Pracovní jazyk:Angličtina," Warsaw, Warszawa, Kraków  +2 •Na dálku•Warsaw•Warszawa•Kraków•Wrocław•Poznań ", Na dálku 
26, Remote Magento 2 Developer , Divante S.A. , 64.8k  - 108.1k  CZK ,," Kategorie:  Backend ,  php ", Mid ,"Pracovní jazyk:Angličtina, Polština"," Wrocław, Kraków, Warszawa •Na dálku•Wrocław, Dmowskiego 17•Kraków•Warszawa ", Na dálku 
27, Senior .Net Developer , Ceneo.pl , 77.3k  - 119.7k  CZK ,," Kategorie:  Backend ,  .net ", Senior ,Pracovní jazyk:Polština," Wroclaw, Legnicka 48A •Na dálku•Wroclaw, Legnicka 48A ", Na dálku 
28, .NET Developer , Ceneo.pl , 51.5k  - 90.8k  CZK ,," Kategorie:  Backend ,  .net ", Mid ,Pracovní jazyk:Polština," Wroclaw, Legnicka 48A •Na dálku•Wroclaw, Legnicka 48A ", Na dálku 
29, Frontend Developer , wpj s.r.o. , 30k  - 50k  CZK ,," Kategorie:  Frontend ,  html&css "," Mid, Senior ",Pracovní jazyk:Čeština," Hybrid  +1 •Vrchlabí, Lánovská 1475 ",
30, React Frontend Mid Developer , Notum Technologies s.r.o. , 58k  - 92k  CZK ,," Kategorie:  Frontend ,  react ", Mid ,"Pracovní jazyk:Angličtina, Čeština"," Hybrid  +1 •Brno, Rašínova 103/2 ",
31, Frontend Engineer - SaaS Platform , SentinelOne , 100k  - 200k  CZK ,," Kategorie:  Frontend ,  react "," Mid, Senior ",Pracovní jazyk:Angličtina," Prague, Brno •Na dálku•Prague, Karolinská 707/7•Brno, Holandská 2 ", Na dálku 
32, Senior Angular Developer , Neovia , 147k  - 210k  CZK ,," Kategorie:  Frontend ,  angular ", Senior ,Pracovní jazyk:Čeština," Hybrid  +1 •Praha 40% na místě, 60% na dálku  ",
33, React Developer , veevero , 63k  - 115.5k  CZK ,," Kategorie:  Frontend ,  react "," Mid, Senior ","Pracovní jazyk:Čeština, Angličtina", Hybrid  +1 •Prague ,
34, Senior React Frontend Developer , ATOL Capital , 80k  - 120k  CZK ,," Kategorie:  Frontend ,  react ", Senior ,"Pracovní jazyk:Čeština, Angličtina"," Hybrid  +1 •Praha, Smíchov ",
35, Vue.js Developer , Comfort Finance Group , 60k  - 80k  CZK ,," Kategorie:  Frontend ,  javascript "," Mid, Senior ",Pracovní jazyk:Čeština," Hybrid  +1 •Prague, Vinohradská 2396/184 ",
36, React Developer , RES-Q Global , 55k  - 80k  CZK ,," Kategorie:  Frontend ,  react "," Mid, Senior ","Pracovní jazyk:Angličtina, Čeština"," Brno, Božetěchova 62 •Brno, Božetěchova 62 ",
37, React Developer (mid/senior) Praha/Brno , 1. Web IT , 45k  - 90k  CZK ,," Kategorie:  Frontend ,  react "," Mid, Senior ",Pracovní jazyk:Čeština," Hybrid  +2 •Praha 5, Drtinova 10•Brno, Cyrilská 7 60% na místě, 40% na dálku  ",
38," Tech Lead (Typescript, React) ", FINN GmbH , 184.8k  - 246.5k  CZK ,," Kategorie:  Frontend ,  typescript "," Senior, Expert ",Pracovní jazyk:Angličtina," München, Prinzregentenpl. 9 •Na dálku•München, Prinzregentenpl. 9 ", Na dálku 
39, Senior React/ React Native Developer , Fabres Sp. z o. o. , 112.5k  - 155.9k  CZK ,," Kategorie:  Frontend ,  React Native ", Senior ,Pracovní jazyk:Angličtina," Poznań, Małachowskiego 10 •Na dálku•Poznań, Małachowskiego 10 ", Na dálku 
40, Fullstack Developer , ACTUM Digital , 90k  - 130k  CZK ,," Kategorie:  Fullstack ,  .net "," Senior, Expert ","Pracovní jazyk:Čeština, Angličtina"," Hybrid  +1 •Praha, Plynární 1617/10 ",
41, Rad studio/delphi Mid Senior Developer , EXCHANGE s.r.o. , 80k  - 150k  CZK ,," Kategorie:  Fullstack ,  RAD Studio/Delphi "," Mid, Senior ",Pracovní jazyk:Čeština," Hybrid  +1 •Prague, Kaprova 14/13 ",
42, Fullstack React / NodeJS developer , veevero , 63k  - 126k  CZK ,," Kategorie:  Fullstack ,  react "," Mid, Senior ","Pracovní jazyk:Čeština, Angličtina", Hybrid  +1 •Prague ,
43, Fullstack Angular / NodeJS developer , veevero , 63k  - 126k  CZK ,," Kategorie:  Fullstack ,  angular "," Mid, Senior ","Pracovní jazyk:Čeština, Angličtina", Hybrid  +1 •Prague ,
44," Women in Tech, Backend/ Frontend Lead ", FINN GmbH , 184.8k  - 246.5k  CZK ,," Kategorie:  Fullstack ,  python "," Senior, Expert ",Pracovní jazyk:Angličtina," München, Prinzregentenpl. 9 •Na dálku•München, Prinzregentenpl. 9 ", Na dálku 
45, Fullstack .NET Developer , TITIAN SOFTWARE POLAND sp. z o.o. , 54.1k  - 105.7k  CZK ,," Kategorie:  Fullstack ,  .net "," Mid, Senior ","Pracovní jazyk:Angličtina, Polština"," Hybrid  +1 •Wrocław, ul. Grabiszyńska 241A ",
46, Lead Engineer , Kaleido AI , 123.2k  - 164.3k  CZK , +75% ," Kategorie:  Fullstack ,  javascript ", Senior ,Pracovní jazyk:Angličtina," Hybrid  +1 •Vienna, Ungargasse 37 ",
47, React Native Developer , ADASTRA·ONE , 73.5k  - 136.5k  CZK ,," Kategorie:  Mobile ,  React Native "," Mid, Senior ",Pracovní jazyk:Angličtina," Hybrid  +1 •Prague, Karolinská ",
48, Senior (Low-level) Android Developer , signageOS , 90k  - 120k  CZK ,," Kategorie:  Mobile ,  android ", Senior ,"Pracovní jazyk:Čeština, Angličtina"," Hybrid  +1 •Praha, Evropská 11 40% na místě, 60% na dálku  ",
49, Android Developer , ADASTRA·ONE , 52.5k  - 84k  CZK ,," Kategorie:  Mobile ,  android ", Mid ,"Pracovní jazyk:Angličtina, Čeština"," Hybrid  +1 •Prague, Karolinská 703/6 ",
50, IOS Developer , ADASTRA·ONE , 52.5k  - 84k  CZK ,," Kategorie:  Mobile ,  ios ", Mid ,Pracovní jazyk:Angličtina," Hybrid  +1 •Prague, Karolinská 706/3 ",
51, Remote QA Automation Engineer , Kilo Health , 81.3k  - 101k  CZK ,, Kategorie:  Mobile , Senior ,Pracovní jazyk:Angličtina," Vilnus, Berlin, Kyiv •Na dálku•Vilnus•Berlin•Kyiv ", Na dálku 
52, Flutter vývojář (až 100% remote) , Animato , 67.2k  - 105k  CZK ,," Kategorie:  Mobile ,  Flutter "," Mid, Senior ",Pracovní jazyk:Čeština," Hybrid  +1 •Hradec Králové, Pražská třída 320 20% na místě, 80% na dálku  ",
53, Senior QA Engineer , ShipMonk , 50k  - 90k  CZK ,," Kategorie:  Testing ,  testing "," Senior, Expert ",Pracovní jazyk:Angličtina," Hybrid  +1 •Prague, Rohanske nabrezi 23 80% na místě, 20% na dálku  ",
54, Systems Analyst ," Logex Solution Center, s.r.o. ", 45k  - 70k  CZK ,," Kategorie:  Testing ,  jira ", Mid ,"Pracovní jazyk:Čeština, Angličtina"," Hybrid  +1 •Brno, Nové sady 996/25 ",
55, Remote Quality Assurance Specialist , Bridebook , 73.8k  - 92.2k  CZK ,," Kategorie:  Testing ,  testing "," Mid, Senior ",Pracovní jazyk:Angličtina," London, 45 Notting Hill Gate •Na dálku•London, 45 Notting Hill Gate ", Na dálku 
56, Infrastructure Engineer - Data Platforms , SentinelOne , 100k  - 200k  CZK ,, Kategorie:  DevOps ," Mid, Senior ",Pracovní jazyk:Angličtina," Prague, Brno •Na dálku•Prague, Karolinská 707/7•Brno, Holandská 2 ", Na dálku 
57, DevOps Engineer , SentinelOne , 100k  - 200k  CZK ,, Kategorie:  DevOps ," Mid, Senior ",Pracovní jazyk:Angličtina," Prague, Brno •Na dálku•Prague, Karolinská 707/7•Brno, Holandská 2 ", Na dálku 
58, Remote DevOps Engineer , Kilo Health , 86.2k  - 172.5k  CZK ,, Kategorie:  DevOps , Expert ,Pracovní jazyk:Angličtina," Vilnus, Berlin, Kyiv •Na dálku•Vilnus•Berlin•Kyiv ", Na dálku 
59, DevOps Engineer , Appliscale Sp. z o.o. , 74.8k  - 149.6k  CZK ,," Kategorie:  DevOps ,  ansible "," Mid, Senior ",Pracovní jazyk:Angličtina," krakow, Życzkowskiego 14 •Na dálku•krakow, Życzkowskiego 14 ", Na dálku 
60, Senior DevOps Engineer , Acaisoft , 98k  - 128.9k  CZK ,," Kategorie:  DevOps ,  aws ", Senior ,"Pracovní jazyk:Polština, Angličtina"," Warszawa, Białystok, Gdynia •Na dálku•Warszawa, Puławska•Białystok, Świętego Rocha•Gdynia, Pomorski Park Naukowo-Technologiczny ", Na dálku 
61, Mid DevOps Engineer , Acaisoft , 61.9k  - 98k  CZK ,," Kategorie:  DevOps ,  aws ", Mid ,"Pracovní jazyk:Polština, Angličtina"," Warszawa, Białystok, Gdynia •Na dálku•Warszawa, Puławska•Białystok, Świętego Rocha•Gdynia, Pomorski Park Naukowo-Technologiczny ", Na dálku 
